ID,Project_number,Sub_CSS_Number,Contract_Type,Package_Description,MR_Number,MTO_Name,Tank_Design,Number_of_Tanks,UOM,Engg_Qty_Per_Tank_EA,Plate_Marker,Engg_Thick_mm,Width_mm,Length_mm,Material_Grade,Material_Spec,Vendor,Vendor_Currency,Exchange_Rate,Offer_Date,Point_of_Manufacture,Point_of_Shipping,Freight_Terms,Ship_to_Location,EXW_Wks,Vendor_Thick_mm,Vendor_Width_mm,Vendor_Length_mm,Vendor_Qty_Per_Tank_EA,Material_Price_Vendor_Currency,BP_Vendor_Currency,Fab_Vendor_Currency,Freight_Vendor_Currency,Material_Conditioning_per_UOM_USD,BP_Conditioning_per_MT_USD,Fab_Conditioning_per_MT_USD,Freight_Conditioning_per_MT_USD,VAT_Conditioning_per_MT_USD,Other_Conditioning_per_MT_USD,Engg_Line_Tonnage_MT,Vendor_Line_Tonnage_MT,Material_Price_USD,BP_USD,Fab_USD,Freight_USD,Matl_Line_USD,BP_Line_USD,Fab_Line_USD,Freight_Line_USD,Year,Month,Quarters,Tank_Dia_m,Tank_Ht_m,Type_of_Tank
1,191167,191167,Precontract,Plate - Carbon Steel (Non-sour),191167-MR-01302A,191167 Outer Tank Bills Rev. C,44.000 m Dia x 45.552 m HT Ethylene Tank (46.105k m3),1,MT,1,Girder Plate3 ~ Horz,16,2128,6936,A537 CL1,191167-000-PS-SP-00003,Hyundai,USD,1,4/13/21,South Korea,South Korea,CFR,Saudi Arabia,15,16,2128,6936,1,1059,76,0,120,0,0,0,0,0,0,1.853831885,1.853831885,1059,76,0,120,1963.21,140.89,0,222.46,2021,Apr,Qtr2,44,45.552,Ethylene
2,191167,191167,Precontract,Plate - Carbon Steel (Non-sour),191167-MR-01302A,191167 Outer Tank Bills Rev. C,44.000 m Dia x 45.552 m HT Ethylene Tank (46.105k m3),1,MT,1,Special Girder2 ~ Vert,16,702,7100,A537 CL1,191167-000-PS-SP-00003,Hyundai,USD,1,4/13/21,South Korea,South Korea,CFR,Saudi Arabia,15,16,1500,7100,1,1079,76,0,120,0,0,0,0,0,0,0.62601552,1.33764,1079,76,0,120,1443.31,101.66,0,160.52,2021,Apr,Qtr2,44,45.552,Ethylene
3,191167,191167,Precontract,Plate - Carbon Steel (Non-sour),191167-MR-01302A,191167 Outer Tank Bills Rev. C,44.000 m Dia x 45.552 m HT Ethylene Tank (46.105k m3),1,MT,1,Special Girder2 ~ Horz,16,927,6913,A537 CL1,191167-000-PS-SP-00003,Hyundai,USD,1,4/13/21,South Korea,South Korea,CFR,Saudi Arabia,15,16,1500,6913,1,1079,76,0,120,0,0,0,0,0,0,0.804888886,1.3024092,1079,76,0,120,1405.3,98.98,0,156.29,2021,Apr,Qtr2,44,45.552,Ethylene
4,191167,191167,Precontract,Plate - Carbon Steel (Non-sour),191167-MR-01302A,191167 Outer Tank Bills Rev. C,44.000 m Dia x 45.552 m HT Ethylene Tank (46.105k m3),1,MT,1,Rafter Clips,10,2910,1464,A36-MOD,,Hyundai,USD,1,4/13/21,South Korea,South Korea,CFR,Saudi Arabia,15,10,2910,3000,1,965,76,0,120,0,0,0,0,0,0,0.33442884,0.685305,965,76,0,120,661.32,52.08,0,82.24,2021,Apr,Qtr2,44,45.552,Ethylene
5,191167,251428,Precontract,Plate - Carbon Steel (Non-sour),251428-MR-01302A,251428 Sphere Plate List,21.50 m Dia Sphere (Ethylene),3,MT,2,TOP HEAD PLATES-7,46.1,3207,9462,SA537 CL2,251428-000-SP-SP-00101,Hyundai,USD,1,4/13/21,South Korea,South Korea,CFR,Saudi Arabia,15,46.1,3207,9462,6,1123,76,0,120,0,0,0,0,0,0,65.88760725,197.6628218,1123,76,0,120,221975.35,15022.37,0,23719.54,2021,Apr,Qtr2,21.5,0,Sphere
6,191167,251428,Precontract,Plate - Carbon Steel (Non-sour),251428-MR-01302A,251428 Sphere Plate List,21.50 m Dia Sphere (Ethylene),3,MT,4,TOP HEAD PLATES-6,46.2,3139,10562,SA537 CL2,251428-000-SP-SP-00101,Hyundai,USD,1,4/13/21,South Korea,South Korea,CFR,Saudi Arabia,15,46.2,3139,10562,12,1123,76,0,120,0,0,0,0,0,0,144.2880477,432.8641431,1123,76,0,120,486106.43,32897.67,0,51943.7,2021,Apr,Qtr2,21.5,0,Sphere
7,191167,251428,Precontract,Plate - Carbon Steel (Non-sour),251428-MR-01302A,251428 Sphere Plate List,21.50 m Dia Sphere (Ethylene),3,MT,11,EQUATOR PLATES-4P,49,3212,10339,SA537 CL2,251428-000-SP-SP-00101,Hyundai,USD,1,4/13/21,South Korea,South Korea,CFR,Saudi Arabia,15,49,3212,10339,33,1123,76,0,120,0,0,0,0,0,0,421.5351055,1264.605317,1123,76,0,120,1420151.77,96110,0,151752.64,2021,Apr,Qtr2,21.5,0,Sphere
8,191167,251428,Precontract,Plate - Carbon Steel (Non-sour),251428-MR-01302A,251428 Sphere Plate List,21.50 m Dia Sphere (Ethylene),3,MT,11,EQUATOR PLATES-4,47.9,3211,10339,SA537 CL2,251428-000-SP-SP-00101,Hyundai,USD,1,4/13/21,South Korea,South Korea,CFR,Saudi Arabia,15,47.9,3211,10339,33,1123,76,0,120,0,0,0,0,0,0,411.9437811,1235.831343,1123,76,0,120,1387838.6,93923.18,0,148299.76,2021,Apr,Qtr2,21.5,0,Sphere
9,191167,251428,Precontract,Plate - Carbon Steel (Non-sour),251428-MR-01302A,251428 Sphere Plate List,21.50 m Dia Sphere (Ethylene),3,MT,4,BOTTOM HEAD PLATES-3,48,3139,10563,SA537 CL2,251428-000-SP-SP-00101,Hyundai,USD,1,4/13/21,South Korea,South Korea,CFR,Saudi Arabia,15,48,3139,10563,12,1123,76,0,120,0,0,0,0,0,0,149.9238533,449.7715598,1123,76,0,120,505093.46,34182.64,0,53972.59,2021,Apr,Qtr2,21.5,0,Sphere
10,191167,251428,Precontract,Plate - Carbon Steel (Non-sour),251428-MR-01302A,251428 Sphere Plate List,21.50 m Dia Sphere (Ethylene),3,MT,2,BOTTOM HEAD PLATES-2,48.2,3207,9463,SA537 CL2,251428-000-SP-SP-00101,Hyundai,USD,1,4/13/21,South Korea,South Korea,CFR,Saudi Arabia,15,48.2,3207,9463,6,1123,76,0,120,0,0,0,0,0,0,68.8962756,206.6888268,1123,76,0,120,232111.55,15708.35,0,24802.66,2021,Apr,Qtr2,21.5,0,Sphere
