Commodity,date,Cash_Settlement,Three_month,LME_stock,Year,Month,Quarter
Nickel,2-Jan-08,26505,26725,47940,2008,Jan,Qtr1
Copper,2-Jan-08,6666,6706,198925,2008,Jan,Qtr1
Aluminium,2-Jan-08,2365.5,2413,929450,2008,Jan,Qtr1
Nickel,3-Jan-08,28105,28400,47892,2008,Jan,Qtr1
Copper,3-Jan-08,6765,6818,198175,2008,Jan,Qtr1
Aluminium,3-Jan-08,2422,2470.5,929500,2008,Jan,Qtr1
Nickel,4-Jan-08,29515,29825,47784,2008,Jan,Qtr1
Copper,4-Jan-08,6990.5,7035,198600,2008,Jan,Qtr1
Aluminium,4-Jan-08,2447,2498,933750,2008,Jan,Qtr1
Nickel,7-Jan-08,27905,28205,48126,2008,Jan,Qtr1
Copper,7-Jan-08,6915.5,6950.5,201000,2008,Jan,Qtr1
Aluminium,7-Jan-08,2404,2459,934350,2008,Jan,Qtr1
Nickel,8-Jan-08,28855,29135,48156,2008,Jan,Qtr1
Copper,8-Jan-08,7106,7140.5,200975,2008,Jan,Qtr1
Aluminium,8-Jan-08,2442,2491.5,935150,2008,Jan,Qtr1
Nickel,9-Jan-08,28800,29200,48036,2008,Jan,Qtr1
Copper,9-Jan-08,7351,7370.5,200750,2008,Jan,Qtr1
Aluminium,9-Jan-08,2450.5,2502,935525,2008,Jan,Qtr1
Nickel,10-Jan-08,28155,28500,47886,2008,Jan,Qtr1
Copper,10-Jan-08,7120.5,7135,199650,2008,Jan,Qtr1
Aluminium,10-Jan-08,2415.5,2467,936475,2008,Jan,Qtr1
Nickel,11-Jan-08,27610,28050,47544,2008,Jan,Qtr1
Copper,11-Jan-08,7196,7220,199275,2008,Jan,Qtr1
Aluminium,11-Jan-08,2417,2475,939325,2008,Jan,Qtr1
Nickel,14-Jan-08,28710,29005,46908,2008,Jan,Qtr1
Copper,14-Jan-08,7361,7390.5,198600,2008,Jan,Qtr1
Aluminium,14-Jan-08,2470.5,2525,940050,2008,Jan,Qtr1
Nickel,15-Jan-08,28450,28710,46692,2008,Jan,Qtr1
Copper,15-Jan-08,7225.5,7251,194100,2008,Jan,Qtr1
Aluminium,15-Jan-08,2460.5,2507,941225,2008,Jan,Qtr1
Nickel,16-Jan-08,27900,28200,46602,2008,Jan,Qtr1
Copper,16-Jan-08,7020,7022,191050,2008,Jan,Qtr1
Aluminium,16-Jan-08,2423,2472,944075,2008,Jan,Qtr1
Nickel,17-Jan-08,27715,28005,46524,2008,Jan,Qtr1
Copper,17-Jan-08,7121.5,7125.5,185550,2008,Jan,Qtr1
Aluminium,17-Jan-08,2412.5,2460,947625,2008,Jan,Qtr1
Nickel,18-Jan-08,27600,27860,46422,2008,Jan,Qtr1
Copper,18-Jan-08,7062,7055,183225,2008,Jan,Qtr1
Aluminium,18-Jan-08,2400,2440,947450,2008,Jan,Qtr1
Nickel,21-Jan-08,27330,27700,46176,2008,Jan,Qtr1
Copper,21-Jan-08,6910,6895,180900,2008,Jan,Qtr1
Aluminium,21-Jan-08,2371.5,2419,949475,2008,Jan,Qtr1
Nickel,22-Jan-08,26550,26850,46344,2008,Jan,Qtr1
Copper,22-Jan-08,6920,6850,178850,2008,Jan,Qtr1
Aluminium,22-Jan-08,2359,2401,948600,2008,Jan,Qtr1
Nickel,23-Jan-08,26800,27050,46398,2008,Jan,Qtr1
Copper,23-Jan-08,7000.5,6980,176175,2008,Jan,Qtr1
Aluminium,23-Jan-08,2371,2413,948000,2008,Jan,Qtr1
Nickel,24-Jan-08,26860,27200,46590,2008,Jan,Qtr1
Copper,24-Jan-08,7092,7070,174300,2008,Jan,Qtr1
Aluminium,24-Jan-08,2411,2455,946550,2008,Jan,Qtr1
Nickel,25-Jan-08,27010,27400,46656,2008,Jan,Qtr1
Copper,25-Jan-08,7120,7126,172775,2008,Jan,Qtr1
Aluminium,25-Jan-08,2483,2518,945075,2008,Jan,Qtr1
Nickel,28-Jan-08,26455,26725,46806,2008,Jan,Qtr1
Copper,28-Jan-08,6893,6910,171675,2008,Jan,Qtr1
Aluminium,28-Jan-08,2447,2493,952150,2008,Jan,Qtr1
Nickel,29-Jan-08,27330,27600,46914,2008,Jan,Qtr1
Copper,29-Jan-08,7171,7179,171275,2008,Jan,Qtr1
Aluminium,29-Jan-08,2555,2592,953175,2008,Jan,Qtr1
Nickel,30-Jan-08,27460,27705,47064,2008,Jan,Qtr1
Copper,30-Jan-08,7165,7190,170650,2008,Jan,Qtr1
Aluminium,30-Jan-08,2631,2339,955350,2008,Jan,Qtr1
Nickel,31-Jan-08,27550,27900,47214,2008,Jan,Qtr1
Copper,31-Jan-08,7170.5,7170,178775,2008,Jan,Qtr1
Aluminium,31-Jan-08,2643,2685,956625,2008,Jan,Qtr1
Nickel,1-Feb-08,27705,28050,47052,2008,Feb,Qtr1
Copper,1-Feb-08,7345,7339,177800,2008,Feb,Qtr1
Aluminium,1-Feb-08,2676,2720.5,956475,2008,Feb,Qtr1
Nickel,4-Feb-08,27350,27675,46968,2008,Feb,Qtr1
Copper,4-Feb-08,7295,7295,177050,2008,Feb,Qtr1
Aluminium,4-Feb-08,2628.5,2673,954850,2008,Feb,Qtr1
Nickel,5-Feb-08,26565,26805,46650,2008,Feb,Qtr1
Copper,5-Feb-08,7202,7225,174775,2008,Feb,Qtr1
Aluminium,5-Feb-08,2597.5,2638.5,954450,2008,Feb,Qtr1
Nickel,6-Feb-08,26410,26705,46770,2008,Feb,Qtr1
Copper,6-Feb-08,7181,7190,171975,2008,Feb,Qtr1
Aluminium,6-Feb-08,2591.5,2632,953575,2008,Feb,Qtr1
Nickel,7-Feb-08,26475,26800,46770,2008,Feb,Qtr1
Copper,7-Feb-08,7350,7360,171975,2008,Feb,Qtr1
Aluminium,7-Feb-08,2601,2643,953575,2008,Feb,Qtr1
Nickel,8-Feb-08,27355,27605,46782,2008,Feb,Qtr1
Copper,8-Feb-08,7612,7560,169475,2008,Feb,Qtr1
Aluminium,8-Feb-08,2680,2709,953450,2008,Feb,Qtr1
Nickel,11-Feb-08,28000,28210,46968,2008,Feb,Qtr1
Copper,11-Feb-08,7820.5,7790,164125,2008,Feb,Qtr1
Aluminium,11-Feb-08,2668,2708,953300,2008,Feb,Qtr1
Nickel,12-Feb-08,27800,28050,46998,2008,Feb,Qtr1
Copper,12-Feb-08,7805,7800,159725,2008,Feb,Qtr1
Aluminium,12-Feb-08,2637.5,2680.5,956150,2008,Feb,Qtr1
Nickel,13-Feb-08,27605,27850,46824,2008,Feb,Qtr1
Copper,13-Feb-08,7680.5,7656,157600,2008,Feb,Qtr1
Aluminium,13-Feb-08,2608,2650,957900,2008,Feb,Qtr1
Nickel,14-Feb-08,27405,27500,46782,2008,Feb,Qtr1
Copper,14-Feb-08,7776,7766.5,154650,2008,Feb,Qtr1
Aluminium,14-Feb-08,2738,2785,956075,2008,Feb,Qtr1
Nickel,15-Feb-08,27605,27825,46824,2008,Feb,Qtr1
Copper,15-Feb-08,7801,7781,150650,2008,Feb,Qtr1
Aluminium,15-Feb-08,2812.5,2853,954200,2008,Feb,Qtr1
Nickel,18-Feb-08,27405,27725,47040,2008,Feb,Qtr1
Copper,18-Feb-08,7945,7920,144375,2008,Feb,Qtr1
Aluminium,18-Feb-08,2796,2838,952425,2008,Feb,Qtr1
Nickel,19-Feb-08,27750,27910,47190,2008,Feb,Qtr1
Copper,19-Feb-08,8080,8040,140350,2008,Feb,Qtr1
Aluminium,19-Feb-08,2806,2846.5,951725,2008,Feb,Qtr1
Copper,20-Feb-08,8101,8050,135375,2008,Feb,Qtr1
Copper,21-Feb-08,8281,8241,135375,2008,Feb,Qtr1
Copper,22-Feb-08,8322,8283,141600,2008,Feb,Qtr1
Copper,25-Feb-08,8247,8220.5,149225,2008,Feb,Qtr1
Nickel,26-Feb-08,27850,28055,47658,2008,Feb,Qtr1
Copper,26-Feb-08,8271,8225,149125,2008,Feb,Qtr1
Aluminium,26-Feb-08,2877,2916,950200,2008,Feb,Qtr1
Copper,27-Feb-08,8516,8430,146600,2008,Feb,Qtr1
Copper,28-Feb-08,8470,8440,144850,2008,Feb,Qtr1
Copper,29-Feb-08,8540.5,8460,143650,2008,Feb,Qtr1
Copper,3-Mar-08,8565,8495,141375,2008,Mar,Qtr1
Copper,4-Mar-08,8685,8581,139550,2008,Mar,Qtr1
Copper,5-Mar-08,8416,8320.5,138150,2008,Mar,Qtr1
Copper,6-Mar-08,8881,8810,135800,2008,Mar,Qtr1
Copper,7-Mar-08,8660,8560,134275,2008,Mar,Qtr1
Copper,10-Mar-08,8400.5,8310.5,131925,2008,Mar,Qtr1
Copper,11-Mar-08,8560.5,8500,130250,2008,Mar,Qtr1
Copper,12-Mar-08,8356,8280,128975,2008,Mar,Qtr1
Copper,13-Mar-08,8550,8445,127950,2008,Mar,Qtr1
Copper,14-Mar-08,8611,8490,125225,2008,Mar,Qtr1
Copper,17-Mar-08,8360,8140,125500,2008,Mar,Qtr1
Copper,18-Mar-08,8285,8161,124575,2008,Mar,Qtr1
Copper,19-Mar-08,8210.5,8112,122975,2008,Mar,Qtr1
Copper,20-Mar-08,7789,7665,121875,2008,Mar,Qtr1
Copper,25-Mar-08,8240,8100,120175,2008,Mar,Qtr1
Copper,26-Mar-08,8260,8150,118050,2008,Mar,Qtr1
Copper,27-Mar-08,8457,8350,117225,2008,Mar,Qtr1
Copper,28-Mar-08,8540,8456,115250,2008,Mar,Qtr1
Copper,31-Mar-08,8520,8410,112500,2008,Mar,Qtr1
Copper,1-Apr-08,8325.5,8197,111350,2008,Apr,Qtr2
Copper,2-Apr-08,8464,8345,112075,2008,Apr,Qtr2
Copper,3-Apr-08,8591,8441,112575,2008,Apr,Qtr2
Copper,4-Apr-08,8645,8510.5,115150,2008,Apr,Qtr2
Copper,7-Apr-08,8740,8641,116150,2008,Apr,Qtr2
Copper,8-Apr-08,8682,8559,115050,2008,Apr,Qtr2
Copper,9-Apr-08,8650,8550,115575,2008,Apr,Qtr2
Copper,10-Apr-08,8884.5,8720.5,116100,2008,Apr,Qtr2
Copper,11-Apr-08,8810,8660,115150,2008,Apr,Qtr2
Copper,14-Apr-08,8679.5,8520,116250,2008,Apr,Qtr2
Copper,15-Apr-08,8720,8589,117150,2008,Apr,Qtr2
Copper,16-Apr-08,8736.5,8635,116150,2008,Apr,Qtr2
Copper,17-Apr-08,8861.5,8750.5,116525,2008,Apr,Qtr2
Copper,18-Apr-08,8630,8532,114200,2008,Apr,Qtr2
Copper,21-Apr-08,8641.5,8551,113725,2008,Apr,Qtr2
Copper,22-Apr-08,8770,8650,113725,2008,Apr,Qtr2
Copper,23-Apr-08,8796,8695.5,112475,2008,Apr,Qtr2
Copper,24-Apr-08,8700.5,8595,112200,2008,Apr,Qtr2
Copper,25-Apr-08,8600,8521,110775,2008,Apr,Qtr2
Copper,28-Apr-08,8746,8601,110325,2008,Apr,Qtr2
Copper,29-Apr-08,8740,8585.5,109650,2008,Apr,Qtr2
Copper,30-Apr-08,8655,8500,110525,2008,Apr,Qtr2
Copper,1-May-08,8686,8540,110075,2008,May,Qtr2
Copper,2-May-08,8390,8225,109625,2008,May,Qtr2
Copper,6-May-08,8622,8480,109650,2008,May,Qtr2
Copper,7-May-08,8641,8505,109025,2008,May,Qtr2
Copper,8-May-08,8460,8285,110125,2008,May,Qtr2
Copper,9-May-08,8400,8270,121275,2008,May,Qtr2
Copper,12-May-08,8276,8171,121650,2008,May,Qtr2
Copper,13-May-08,8410,8300.5,121775,2008,May,Qtr2
Copper,14-May-08,8180,8090,121425,2008,May,Qtr2
Copper,15-May-08,8360,8193.5,120850,2008,May,Qtr2
Copper,16-May-08,8470,8342,121225,2008,May,Qtr2
Copper,19-May-08,8540,8410,122725,2008,May,Qtr2
Copper,20-May-08,8360,8236,122650,2008,May,Qtr2
Copper,21-May-08,8395,8290,124950,2008,May,Qtr2
Copper,22-May-08,8420,8301,125200,2008,May,Qtr2
Copper,23-May-08,8278,8155,125375,2008,May,Qtr2
Copper,27-May-08,8376,8230,124400,2008,May,Qtr2
Copper,28-May-08,8176,8061,125800,2008,May,Qtr2
Copper,29-May-08,8110,7981,126400,2008,May,Qtr2
Copper,30-May-08,8105,7955,124950,2008,May,Qtr2
Copper,2-Jun-08,7980,7850,123950,2008,Jun,Qtr2
Copper,3-Jun-08,8060,7927,122900,2008,Jun,Qtr2
